Temp(K)	7.64-11.2	11.2-13.6	13.6-16.3	16.3-21.56	21.56-24.6	24.6-30.65	30.65-35.1	35.1-40.96	40.96-47.89	47.89-54.4	54.4-64.5	64.5-77.0	
18000.0	0.31401173242409613	0.08745877802933548	8.799229076389394e-05	1.3950999092383988e-05	2.1795975137751319e-07	6.193090971374474e-10	1.0026082567348091e-12	1.642917932136002e-14	6.602206951056234e-17	6.250908821122645e-20	6.945805466691767e-23	3.5334873645550216e-27	
19000.0	0.32578445134829165	0.1055864659574106	0.0001620744478194588	3.0287243917412354e-05	6.178854295438537e-07	1.7945355070438057e-09	4.057011145397665e-12	8.273822090583883e-14	4.511228009855536e-16	6.268599543375006e-19	5.984774354982035e-22	4.8906338613483923e-26	
20000.0	0.33519293467429995	0.12326508159305788	0.00027072533429000294	5.897744655070596e-05	1.5345827178278034e-06	4.772996846069123e-09	1.494645839879557e-11	3.7364613258932397e-13	2.7236874349214203e-15	5.398278213848979e-18	3.876206995207432e-21	4.587802709090494e-25	
21000.0	0.3428272573780491	0.14001221559903376	0.0004245610329164894	0.00010627041720510352	3.4730802334471428e-06	1.1829476131145943e-08	5.017158559417985e-11	1.4908754058212955e-12	1.4168442764993836e-14	3.898546671147981e-17	1.9965304747536894e-20	3.202443321742144e-24	
22000.0	0.3490902276348867	0.15545266803622307	0.0006427722431348619	0.0001842373067629151	7.498197328331697e-06	2.9189122780068365e-08	1.683120473870919e-10	5.764592426825552e-12	7.07031119314388e-14	2.6479648984733355e-16	9.145728936734778e-20	1.9586850318820212e-23	
23000.0	0.35419512815973153	0.16950327231504855	0.0009644747566842473	0.00031595797674729303	1.597890218132373e-05	7.495500542642394e-08	5.790099075691983e-10	2.1503470027729924e-11	3.2844794862008453e-13	1.6014675945813312e-15	4.0001613791829346e-19	1.1322452403442084e-22	
24000.0	0.35830581218269936	0.18213896022808865	0.0014547092417495195	0.0005463652623874489	3.427189348076841e-05	2.042052159802138e-07	2.0883206376139566e-09	7.766410686751413e-11	1.4436741629699507e-12	8.932957520793962e-15	1.6791030633143817e-18	6.352217698178231e-22	
25000.0	0.36147899941737827	0.19342998732241673	0.002204413188223264	0.0009487089625846987	7.307055118726249e-05	5.853118477983847e-07	7.636543080034586e-09	2.6150140107646897e-10	5.7293098488460175e-12	4.294617504427842e-14	7.321770202761103e-18	3.75331067579795e-21	
26000.0	0.36365056249817274	0.20334519860923214	0.003305874643649061	0.0016214392383692847	0.00015171760440095243	1.6910042020972163e-06	2.7356467776929453e-08	8.159624957053482e-10	2.089633944792607e-11	1.887015143300073e-13	3.312773519651866e-17	2.246862604757967e-20	
27000.0	0.36467861855655764	0.21173703195984894	0.004855454896445345	0.0027006889499180046	0.0003065696308460532	4.70193639693091e-06	9.080600185181386e-08	2.534724764944405e-09	7.515569966274225e-11	8.023794214857606e-13	1.4134992085521237e-16	1.271520662975097e-19	
28000.0	0.3641874616889797	0.21859152118575062	0.007054310298174733	0.004458993523845492	0.0006220368060396518	1.2797594244422602e-05	2.9781678317510107e-07	8.745301487827108e-09	2.962690525491213e-10	3.678148704395668e-12	6.187645731149589e-16	7.738253629434758e-19	
29000.0	0.3616619963739464	0.22361482328488402	0.010337856216815053	0.007496934752788199	0.0012925077342138386	3.4635052913038795e-05	1.0227107854971393e-06	3.8847172956878204e-08	1.433087875620758e-09	1.9916112955531978e-11	2.807113675959632e-15	4.957601075254071e-18	
30000.0	0.35661370816719484	0.22649123226013215	0.015314282959829444	0.012786195615814601	0.0026388287127103584	9.446813404671205e-05	3.7370349541799957e-06	2.018300363376628e-07	7.278123555122043e-09	1.0829614382824644e-10	1.2720508650886348e-14	3.191205590962441e-17	
31000.0	0.34861964740603524	0.22683943947462515	0.022451035911437225	0.021317915575977293	0.004970912431554	0.00025004522761053357	1.3414378536978492e-05	1.0112099034061355e-06	3.426787587319193e-08	5.469352951831455e-10	5.3054880007520025e-14	1.8675776169388556e-16	
32000.0	0.33800412939250485	0.22453843450882208	0.03161995442747569	0.033302545045663635	0.008339167077678213	0.0006163850378701832	4.418627222043857e-05	4.166415235159237e-06	1.4133401990982363e-07	2.4450776869882886e-09	1.9156018802314703e-13	9.112330607163577e-16	
33000.0	0.3258370379789143	0.2204591060965787	0.0420256231962758	0.04771632124823637	0.012455098932735206	0.0014120176051528345	0.00013512600708271533	1.3921694065923324e-05	4.6326761679370134e-07	8.615663926974325e-09	5.86384024361885e-13	3.515211911760451e-15	
34000.0	0.3128073423261341	0.21491523812328353	0.052829455844528715	0.0632670390145038	0.017022247115749057	0.0032270065965934545	0.0004059495738692582	4.03979970782937e-05	1.2773908386943454e-06	2.583940122427117e-08	1.601762815829475e-12	1.1618712322210775e-14	
35000.0	0.29947343962653844	0.2083276464713064	0.06281331089095173	0.07844508608297909	0.021766343686695163	0.007250576384167411	0.0010599278069336263	0.0001018287763272586	3.2881173745232165e-06	7.371530677308743e-08	4.174916259956614e-12	3.4891055636774514e-14	
36000.0	0.28614520471539817	0.20092692803157042	0.07100789335161815	0.09222734334956248	0.026532207420972016	0.014458338262570734	0.002183289435493459	0.00021273997540201758	8.055980615420039e-06	1.964496043021851e-07	1.0508109394309694e-11	9.570872299049253e-14	
37000.0	0.2730828272099409	0.19308900437333829	0.07722680488205598	0.10431772134079627	0.031268166357760425	0.02451119226909575	0.0036457787786596313	0.0003731652222856312	1.9035562663809045e-05	4.7327611289121714e-07	2.4539883530083858e-11	2.472525204345599e-13	
38000.0	0.26037285049596176	0.18505499058736458	0.08198348108433573	0.11509961617317667	0.035996511529020774	0.03611191451204778	0.005244652270266732	0.0005791335500723554	5.056365917413008e-05	1.0206584005268281e-06	5.6808990622165495e-11	6.446179840351904e-13	
39000.0	0.24812373639771865	0.1770555277634118	0.0858377858327788	0.12500967475533845	0.04075998981089531	0.04789302778421354	0.006830749437286304	0.0008326069313763403	0.00016007038644590566	2.0242523433784326e-06	1.1449573593313661e-10	1.544103316096661e-12	
